Percentage served,Time in ms
0,27.132
1,29.041
2,29.128
3,29.188
4,29.223
5,29.246
6,29.264
7,29.278
8,29.291
9,29.303
10,29.314
11,29.324
12,29.333
13,29.342
14,29.351
15,29.359
16,29.367
17,29.375
18,29.383
19,29.390
20,29.398
21,29.406
22,29.414
23,29.422
24,29.431
25,29.440
26,29.449
27,29.460
28,29.472
29,29.486
30,29.504
31,29.525
32,29.554
33,29.591
34,29.630
35,29.667
36,29.698
37,29.725
38,29.749
39,29.772
40,29.793
41,29.813
42,29.833
43,29.854
44,29.878
45,29.911
46,29.965
47,30.055
48,30.218
49,30.453
50,30.733
51,31.054
52,31.398
53,31.734
54,32.041
55,32.248
56,32.385
57,32.469
58,32.517
59,32.551
60,32.581
61,32.606
62,32.629
63,32.651
64,32.673
65,32.692
66,32.713
67,32.735
68,32.760
69,32.790
70,32.834
71,32.901
72,32.972
73,33.027
74,33.076
75,33.126
76,33.180
77,33.267
78,33.529
79,34.075
80,34.755
81,35.451
82,36.212
83,36.983
84,37.792
85,38.562
86,39.394
87,40.183
88,40.673
89,40.882
90,40.969
91,41.038
92,41.109
93,41.187
94,41.284
95,41.430
96,41.583
97,42.107
98,47.650
99,1053.021
100,238869.795
